STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FLEET_SIZE,Fleet size,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SWE,Sweden,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2013,,1368,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SWE,Sweden,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2014,,1359,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SWE,Sweden,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2015,,1318,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SWE,Sweden,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2016,,1277,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SWE,Sweden,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2017,,1230,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SWE,Sweden,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2018,,1199,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SWE,Sweden,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2019,,1136,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,SWE,Sweden,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2020,,1136,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,IDN,Indonesia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2010,,739932,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,IDN,Indonesia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2011,,767187,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,IDN,Indonesia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2012,,808775,,A,Normal value,,,0,Units,0,Zero,,
